feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
mean_speed_mps,2.498985205704116,7.394981659965156,4.89599645426104,-4.845009475687443,14.738976341356715,111,0.5564467615801083
max_speed_mps,8.322616535666276,11.714090897721675,3.3914743620553995,3.2354049925831765,16.801302440804776,231,1.1580108281531984
speed_std_mps,1.210415065164325,2.896449786718118,1.6860347215537927,-1.318637017166364,5.425501869048807,7,0.035091237216763584
mean_long_acc_mps2,0.014409964887057699,0.2995785653469988,0.2851686004599411,-0.4133429358028539,0.7273314660369103,1289,6.461800681772608
max_acceleration_mps2,1.0784640305797182,2.145588273546262,1.067124242966544,-0.5222223338700978,3.746274637996078,1669,8.366753559254061
max_deceleration_mps2,0.8300922774253906,2.0560658983137277,1.225973620888337,-1.0088681539071147,3.895026329646233,290,1.4537798275516343
acceleration_std_mps2,0.4952706745698632,0.8829431675828661,0.3876724930130029,-0.08623806494964115,1.4644519071023705,889,4.456587126528976
mean_abs_jerk_mps3,0.34374190486761125,0.6735233030101087,0.3297813981424974,-0.15093019234613486,1.1681954002238548,980,4.912773210346902
observed_stop_transition_count,0.0,1.0,1.0,-1.5,2.5,449,2.2508522157609785
stopped_time_ratio,0.0,0.5010264257153707,0.5010264257153707,-0.7515396385730561,1.2525660642884269,0,0.0
