,mean_speed_mps,max_speed_mps,speed_std_mps,mean_long_acc_mps2,max_acceleration_mps2,max_deceleration_mps2,acceleration_std_mps2,mean_abs_jerk_mps3,observed_stop_transition_count,stopped_time_ratio
mean_speed_mps,1.0,0.37457805032879815,-0.5079092547498473,0.2062811920468511,-0.2828277236700185,-0.26781183480748005,0.0624584110339985,0.35168748088095103,-0.7956689598343184,-0.8521096080447891
max_speed_mps,0.37457805032879815,1.0,0.3941643051240401,0.12598749473454224,0.17765452644618557,0.20646692173445064,0.3002907799926099,0.1143102034007495,-0.024299861950148365,-0.012702571012189363
speed_std_mps,-0.5079092547498473,0.3941643051240401,1.0,0.116890548851647,0.5091165526522909,0.4178870818127997,0.3656244286146817,-0.06871880871367811,0.5961116907448473,0.6033421843540984
mean_long_acc_mps2,0.2062811920468511,0.12598749473454224,0.116890548851647,1.0,0.3656358329392835,-0.3577607614675802,0.06493478584030624,0.20240174977385256,-0.2268873330787128,-0.2090492686475509
max_acceleration_mps2,-0.2828277236700185,0.17765452644618557,0.5091165526522909,0.3656358329392835,1.0,0.3721192172505042,0.6484062170192467,0.41583230675566935,0.3154464601410179,0.3317205178053762
max_deceleration_mps2,-0.26781183480748005,0.20646692173445064,0.4178870818127997,-0.3577607614675802,0.3721192172505042,1.0,0.6680910914864358,0.3446836974914792,0.35890531711495377,0.33316305915666045
acceleration_std_mps2,0.0624584110339985,0.3002907799926099,0.3656244286146817,0.06493478584030624,0.6484062170192467,0.6680910914864358,1.0,0.6508593728888732,0.02592845621157732,-0.029085095358039183
mean_abs_jerk_mps3,0.35168748088095103,0.1143102034007495,-0.06871880871367811,0.20240174977385256,0.41583230675566935,0.3446836974914792,0.6508593728888732,1.0,-0.317494399079905,-0.41322303117308384
observed_stop_transition_count,-0.7956689598343184,-0.024299861950148365,0.5961116907448473,-0.2268873330787128,0.3154464601410179,0.35890531711495377,0.02592845621157732,-0.317494399079905,1.0,0.905938728205599
stopped_time_ratio,-0.8521096080447891,-0.012702571012189363,0.6033421843540984,-0.2090492686475509,0.3317205178053762,0.33316305915666045,-0.029085095358039183,-0.41322303117308384,0.905938728205599,1.0
